,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
0,MW715864,"Borna disease virus isolate HIP4521R1 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,Bo_4521-R1/HIP,Rat,Japan,taxon:12455,,2020
1,MW715863,"Borna disease virus isolate CE4521R1 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,Bo_4521-R1/CE,Rat,Japan,taxon:12455,,2020
2,MW715862,"Borna disease virus isolate AV13530 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/AV/HOK/13530,cattle (Holstein friesian),Japan,taxon:12455,,2020
3,MW715861,"Borna disease virus isolate ADC13530 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/ADC/HOK/13530,cattle (Holstein friesian),Japan,taxon:12455,,2020
4,MW715860,"Borna disease virus isolate HYP13530 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/HYP/HOK/13530,cattle (Holstein friesian),Japan,taxon:12455,,2020
5,MW715859,"Borna disease virus isolate AV13529 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/AV/HOK/13529,cattle (Holstein friesian),Japan,taxon:12455,,2020
6,MW715858,"Borna disease virus isolate PSG13529 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/PSG/HOK/13529,cattle (Holstein friesian),Japan,taxon:12455,,2020
7,MW715857,"Borna disease virus isolate ADC13529 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/ADC/HOK/13529,cattle (Holstein friesian),Japan,taxon:12455,,2020
8,MW715856,"Borna disease virus isolate HYP13529 p23 protein gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,Genetic stability of the open reading frame 2 (ORF2) of borna disease virus 1 (BoDV-1) distributed in cattle in Hokkaido,19-NOV-2021,Borna disease virus,viral cRNA,BoDV-HF/HYP/HOK/13529,cattle (Holstein friesian),Japan,taxon:12455,,2020
9,MT199590,"Borna disease virus isolate PBMC1914 p23 protein (P) gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,The genetic diversity of Borna disease virus (BoDV) infer the different origins of outbreak in Japan,28-SEP-2021,Borna disease virus,viral cRNA,,Holstein Friesian cattle,Japan,taxon:12455,,2018
10,MT199589,"Borna disease virus isolate PBMC1923 p23 protein (P) gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,The genetic diversity of Borna disease virus (BoDV) infer the different origins of outbreak in Japan,28-SEP-2021,Borna disease virus,viral cRNA,,Holstein Friesian cattle,Japan,taxon:12455,,2018
11,MT199588,"Borna disease virus isolate PBMC1922 p23 protein (P) gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,The genetic diversity of Borna disease virus (BoDV) infer the different origins of outbreak in Japan,28-SEP-2021,Borna disease virus,viral cRNA,,Holstein Friesian cattle,Japan,taxon:12455,,2018
12,MT199587,"Borna disease virus isolate PBMC1874 p23 protein (P) gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,The genetic diversity of Borna disease virus (BoDV) infer the different origins of outbreak in Japan,28-SEP-2021,Borna disease virus,viral cRNA,,Holstein Friesian cattle,Japan,taxon:12455,,2018
13,MT199586,"Borna disease virus isolate PBMC1866 p23 protein (P) gene, partial cds",268,Borna disease virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Bornaviridae,The genetic diversity of Borna disease virus (BoDV) infer the different origins of outbreak in Japan,28-SEP-2021,Borna disease virus,viral cRNA,,Holstein Friesian cattle,Japan,taxon:12455,,2018
