,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
0,OQ557151,"Dugbe orthonairovirus strain DUGV 2125 segment S, complete sequence",1452,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2125,Amblyomma variegatum,Senegal,taxon:3052514,S,2021
1,OQ557150,"Dugbe orthonairovirus strain DUGV 2035 segment S, complete sequence",1452,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2035,Amblyomma variegatum,Senegal,taxon:3052514,S,2021
2,OQ557153,"Dugbe orthonairovirus strain DUGV 2125 segment L, partial sequence",11025,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2125,Amblyomma variegatum,Senegal,taxon:3052514,L,2021
3,OQ557149,"Dugbe orthonairovirus strain DUGV 2035 segment L, partial sequence",11980,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2035,Amblyomma variegatum,Senegal,taxon:3052514,L,2021
4,OQ557152,"Dugbe orthonairovirus strain DUGV 2125 segment M, complete sequence",4680,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2125,Amblyomma variegatum,Senegal,taxon:3052514,M,2021
5,OQ557148,"Dugbe orthonairovirus strain DUGV 2035 segment M, complete sequence",4680,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Molecular detection and genetic characterization of Dugbe orthonairovirus detected from ticks in southern Senegal,15-MAY-2023,Orthonairovirus dugbeense,viral cRNA,DUGV 2035,Amblyomma variegatum,Senegal,taxon:3052514,M,2021
6,LC579818,"Orthonairovirus dugbeense 15AC-T25 gene for nucleoprotein, complete cds",1691,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Screening for tick-borne viruses in Ghana,04-MAR-2021,Orthonairovirus dugbeense,viral cRNA,15AC-T25,Amblyomma variegatum,Ghana:Accra,taxon:3052514,S,2015-09
7,LC579817,"Orthonairovirus dugbeense 15AC-T25 gene for glycoprotein precursor, complete cds",4849,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Screening for tick-borne viruses in Ghana,04-MAR-2021,Orthonairovirus dugbeense,viral cRNA,15AC-T25,Amblyomma variegatum,Ghana:Accra,taxon:3052514,M,2015-09
8,LC579816,"Orthonairovirus dugbeense 15AC-T25 gene for RNA dependent RNA polymerase, complete cds",12201,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Screening for tick-borne viruses in Ghana,04-MAR-2021,Orthonairovirus dugbeense,viral cRNA,15AC-T25,Amblyomma variegatum,Ghana:Accra,taxon:3052514,L,2015-09
9,LC579815,"Orthonairovirus dugbeense 16GH-T89 gene for nucleoprotein, partial cds",304,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Screening for tick-borne viruses in Ghana,04-MAR-2021,Orthonairovirus dugbeense,viral cRNA,16GH-T89,Rhipicephalus sp.,Ghana:Hohoe,taxon:3052514,S,2016-08
