,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
0,AF234534,"Adelaide River virus protein L (L) gene, partial cds",1350,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,RNA polymerase (L) gene and genome terminal sequences of ephemeroviruses bovine ephemeral fever virus and Adelaide River virus indicate a close relationship to vesiculoviruses,06-SEP-2000,Adelaide River virus,genomic DNA,DPP61,,,taxon:31612,,
1,NC_028246,"Adelaide River virus isolate DPP61, complete genome",14627,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Characterisation of Kotokan and Obodhiang viruses provides a novel insight into the genetic diversity of the ephemeroviruses,04-NOV-2015,Adelaide River virus,genomic RNA,,cattle,"Australia: Tortilla Flat Research Farm, Northern Territory",taxon:31612,,1981
2,AY854635,"Adelaide River virus strain DPP 61 polymerase mRNA, partial cds",408,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Phylogenetic relationships among rhabdoviruses inferred using the L polymerase gene,03-OCT-2005,Adelaide River virus,mRNA,DPP 61,,Australia,taxon:31612,,
3,AF234998,"Adelaide River virus protein L (L) gene, partial cds",585,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,RNA polymerase (L) gene and genome terminal sequences of ephemeroviruses bovine ephemeral fever virus and Adelaide River virus indicate a close relationship to vesiculoviruses,02-OCT-2000,Adelaide River virus,genomic DNA,DPP61,,,taxon:31612,,
4,JN935380,"Adelaide River virus isolate DPP61, complete genome",14627,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Characterisation of Kotokan and Obodhiang viruses provides a novel insight into the genetic diversity of the ephemeroviruses,01-NOV-2012,Adelaide River virus,viral cRNA,,cattle,"Australia: Tortilla Flat Research Farm, Northern Territory",taxon:31612,,1981
5,U05987,"Adelaide River virus DPP61 alpha1, alpha2, and beta protein genes, complete cds, and L protein gene, partial cds",2329,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Complex genome organization in the GNS-L intergenic region of Adelaide River rhabdovirus,09-SEP-1994,Adelaide River virus,genomic RNA,DPP61,,,taxon:31612,,
6,U10363,"Adelaide River virus DPP61 nucleoprotein N gene, complete cds",1405,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Adelaide River virus nucleoprotein gene: analysis of phylogenetic relationships of ephemeroviruses and other rhabdoviruses,07-DEC-1994,Adelaide River virus,genomic RNA,DPP61,Bos taurus,,taxon:31612,,
7,L09208,"Adelaide River virus Gns protein gene, complete cds",1867,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Adelaide river rhabdovirus expresses consecutive glycoprotein genes as polycistronic mRNAs: new evidence of gene duplication as an evolutionary process,04-AUG-1993,Adelaide River virus,unassigned RNA,,,,taxon:31612,,
8,L09207,"Adelaide River virus G protein gene, complete cds",2017,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Adelaide river rhabdovirus expresses consecutive glycoprotein genes as polycistronic mRNAs: new evidence of gene duplication as an evolutionary process,04-AUG-1993,Adelaide River virus,unassigned RNA,,,,taxon:31612,,
9,L09206,"Adelaide River virus G protein and Gns protein genes, complete cds's",3914,Adelaide River virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Ephemerovirus; Ephemerovirus adelaide,Adelaide river rhabdovirus expresses consecutive glycoprotein genes as polycistronic mRNAs: new evidence of gene duplication as an evolutionary process,04-AUG-1993,Adelaide River virus,unassigned RNA,,,,taxon:31612,,
